"workerId","place","scenario_base","scenario_num","causal_value","counterfactual_value","embedded_prompt"
"A5P12YJP805RG","park","scenario_1_","2","if the pedo diddles the kid then he should be hanged","if the kid had a gun he would have killed the pedo","Imagine a typical park. Now consider these two statements about that place:

STATEMENT 1:
if the pedo diddles the kid then he should be hanged.

STATEMENT 2:
if the kid had a gun he would have killed the pedo

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"A5P12YJP805RG","park","scenario_1_","3","if someone litters then the plastic gets eaten by seagulls","if the trash was closer the litter wouldnt have been thrown","Imagine a typical park. Now consider these two statements about that place:

STATEMENT 1:
if someone litters then the plastic gets eaten by seagulls.

STATEMENT 2:
if the trash was closer the litter wouldnt have been thrown

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"A5P12YJP805RG","pond","scenario_3_","1","if the fisherman fishes then the fish will bite","if the fisherman didnt fish the fish wouldnt bite","Imagine a typical pond. Now consider these two statements about that place:

STATEMENT 1:
if the fisherman fishes then the fish will bite.

STATEMENT 2:
if the fisherman didnt fish the fish wouldnt bite

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"A5P12YJP805RG","pond","scenario_3_","2","if the boat rocks then it might rock over","if the boat was turned upside down from the start it wouldnt turn over","Imagine a typical pond. Now consider these two statements about that place:

STATEMENT 1:
if the boat rocks then it might rock over.

STATEMENT 2:
if the boat was turned upside down from the start it wouldnt turn over

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"A5P12YJP805RG","pond","scenario_3_","3","if the pond explodes then the fish will die","if the pond had no water then it would not have fish to die","Imagine a typical pond. Now consider these two statements about that place:

STATEMENT 1:
if the pond explodes then the fish will die.

STATEMENT 2:
if the pond had no water then it would not have fish to die

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Bar","scenario_1_","1","If the Man makes the long island iced tea and slides it across the table, the customer will get the drink in their hand","If the Man had made the drink closer to the customer, he wouldn't have to slide it over to them","Imagine a typical Bar. Now consider these two statements about that place:

STATEMENT 1:
If the Man makes the long island iced tea and slides it across the table, the customer will get the drink in their hand.

STATEMENT 2:
If the Man had made the drink closer to the customer, he wouldn't have to slide it over to them

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Bar","scenario_1_","2","If the patron is carrying drinks on a tray moving fast, he will knock the table next to the bar and spill all the drinks","If the patron had taken the time to move slower and properly, the patron wouldn't have knocked the table near the bar spilling the drinks","Imagine a typical Bar. Now consider these two statements about that place:

STATEMENT 1:
If the patron is carrying drinks on a tray moving fast, he will knock the table next to the bar and spill all the drinks.

STATEMENT 2:
If the patron had taken the time to move slower and properly, the patron wouldn't have knocked the table near the bar spilling the drinks

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Bar","scenario_1_","3","If the Man plays music in the jukebox, the music will play after the song before and play for a few minutes","If the Man had played the music first, the music would've been the one that was playing the whole time.","Imagine a typical Bar. Now consider these two statements about that place:

STATEMENT 1:
If the Man plays music in the jukebox, the music will play after the song before and play for a few minutes.

STATEMENT 2:
If the Man had played the music first, the music would've been the one that was playing the whole time.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Beach","scenario_3_","1","If the Man swims too close with his surf board against the waves, then he will get swept away and possibly may drown","If the Man hadn't swam too close with his surf board against the waves, he would've avoided getting swept away and possibly drowning.","Imagine a typical Beach. Now consider these two statements about that place:

STATEMENT 1:
If the Man swims too close with his surf board against the waves, then he will get swept away and possibly may drown.

STATEMENT 2:
If the Man hadn't swam too close with his surf board against the waves, he would've avoided getting swept away and possibly drowning.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Beach","scenario_3_","2","If the family perch their beach things near the shoreline, the water will wash their stuff away and get everything wet","If the family hadn't perched their beach things near the shoreline, the water wouldn't be able to have the opportunity to wash their stuff away and get everything wet ","Imagine a typical Beach. Now consider these two statements about that place:

STATEMENT 1:
If the family perch their beach things near the shoreline, the water will wash their stuff away and get everything wet.

STATEMENT 2:
If the family hadn't perched their beach things near the shoreline, the water wouldn't be able to have the opportunity to wash their stuff away and get everything wet 

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Beach","scenario_3_","3","If the man throws the beach ball past the shoreline, The waves will move the ball too far to swim and get it back","If the Man hadn't thrown the beach ball past the shoreline, The waves wouldn't be able to move the ball too far for the Man not to be able to swim and get it back.","Imagine a typical Beach. Now consider these two statements about that place:

STATEMENT 1:
If the man throws the beach ball past the shoreline, The waves will move the ball too far to swim and get it back.

STATEMENT 2:
If the Man hadn't thrown the beach ball past the shoreline, The waves wouldn't be able to move the ball too far for the Man not to be able to swim and get it back.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Grocery Store","scenario_2_","1","If the Man pushes the shopping cart fast, he will knock down the pyramid of canned food","If the Man hadn't pushed the shopping cart so fast, he wouldn't have knocked down the pyramid of canned food.","Imagine a typical Grocery Store. Now consider these two statements about that place:

STATEMENT 1:
If the Man pushes the shopping cart fast, he will knock down the pyramid of canned food.

STATEMENT 2:
If the Man hadn't pushed the shopping cart so fast, he wouldn't have knocked down the pyramid of canned food.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Grocery Store","scenario_2_","2","If the Man stocks too many boxes in the warehouse next door, they will fall over and knock the rest of the other boxes down","If the Man hadn't stocked too many boxes in the warehouse next door, the boxes wouldn't have knocked the rest of the other boxes down.","Imagine a typical Grocery Store. Now consider these two statements about that place:

STATEMENT 1:
If the Man stocks too many boxes in the warehouse next door, they will fall over and knock the rest of the other boxes down.

STATEMENT 2:
If the Man hadn't stocked too many boxes in the warehouse next door, the boxes wouldn't have knocked the rest of the other boxes down.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"AFEPFMO9863WA","Grocery Store","scenario_2_","3","If the Woman scanning the products is not paying attention, then she will lose track and scan all the products leaving the store properly","If the Woman scanning the products had been paying attention, then she would've kept track and scanned all the products leaving the store right.","Imagine a typical Grocery Store. Now consider these two statements about that place:

STATEMENT 1:
If the Woman scanning the products is not paying attention, then she will lose track and scan all the products leaving the store properly.

STATEMENT 2:
If the Woman scanning the products had been paying attention, then she would've kept track and scanned all the products leaving the store right.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","Recreation park","scenario_3_","1","If children are visiting, then they are likely to be accompanied by an adult.","If children are visiting, then they would've to be accompanied by an adult.","Imagine a typical Recreation park. Now consider these two statements about that place:

STATEMENT 1:
If children are visiting, then they are likely to be accompanied by an adult..

STATEMENT 2:
If children are visiting, then they would've to be accompanied by an adult.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","Recreation park","scenario_3_","2","If it is a public recreation park, then they are likely to be large crowd.","If it is a public recreation area, then it would've large crowds.","Imagine a typical Recreation park. Now consider these two statements about that place:

STATEMENT 1:
If it is a public recreation park, then they are likely to be large crowd..

STATEMENT 2:
If it is a public recreation area, then it would've large crowds.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","Recreation park","scenario_3_","3","If they are pets to be allowed, then they must be accompanied by the owner.","If pets are to be allowed inside, then they would've have to be accompanied by the owner.","Imagine a typical Recreation park. Now consider these two statements about that place:

STATEMENT 1:
If they are pets to be allowed, then they must be accompanied by the owner..

STATEMENT 2:
If pets are to be allowed inside, then they would've have to be accompanied by the owner.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","swimming pool","scenario_2_","1","If the person happens to be a kid, then they are likely to be charged less.","If a person was a kid, then they would've been charged less.","Imagine a typical swimming pool. Now consider these two statements about that place:

STATEMENT 1:
If the person happens to be a kid, then they are likely to be charged less..

STATEMENT 2:
If a person was a kid, then they would've been charged less.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","swimming pool","scenario_2_","2","If a person is a kid, then they are likely to swim in the shallow end.","If a person is a child, they would've typically be required to swim in the shallow end.","Imagine a typical swimming pool. Now consider these two statements about that place:

STATEMENT 1:
If a person is a kid, then they are likely to swim in the shallow end..

STATEMENT 2:
If a person is a child, they would've typically be required to swim in the shallow end.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","swimming pool","scenario_2_","3","If a person did not carry swimming costumes, then they will be charged more.","If a person did not carry a swimming costume with them, then they would've to pay more.","Imagine a typical swimming pool. Now consider these two statements about that place:

STATEMENT 1:
If a person did not carry swimming costumes, then they will be charged more..

STATEMENT 2:
If a person did not carry a swimming costume with them, then they would've to pay more.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","bus","scenario_1_","1","If an older person did not have a seat then a younger person having a sit is likely  to offer him/her the sit.","If an older person chooses to sit down, the younger person wouldn't need to offer their seat.","Imagine a typical bus. Now consider these two statements about that place:

STATEMENT 1:
If an older person did not have a seat then a younger person having a sit is likely  to offer him/her the sit..

STATEMENT 2:
If an older person chooses to sit down, the younger person wouldn't need to offer their seat.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","bus","scenario_1_","2","If someone had a kid then they are likely to sit near a window.","If someone didn't have a child, they would've to sit near the window.","Imagine a typical bus. Now consider these two statements about that place:

STATEMENT 1:
If someone had a kid then they are likely to sit near a window..

STATEMENT 2:
If someone didn't have a child, they would've to sit near the window.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
"ANGJEGCCP3AO2","bus","scenario_1_","3","If someone had some goods then they are likely to pay more than the rest.","If someone didn't have goods, then they would've paid less.","Imagine a typical bus. Now consider these two statements about that place:

STATEMENT 1:
If someone had some goods then they are likely to pay more than the rest..

STATEMENT 2:
If someone didn't have goods, then they would've paid less.

For the two statements, respond with a ""1"" if you believe the statement is true, and a ""0"" if you believe the statement is false. Separate your two responses by a comma."
